"Address","C.SH","jensiat","sen","savad","m.t.s","v.f.s","N.T.M","T.O","S.Z","M.O.B","OTO","MO","DO","ZABT","TV","PC","TEL.H","OJAGH.GAZ","JAROO.B","MASHIN.L","CHARKH.KH","PANKE","MASHIN.Z","H.KHORAKI.NOOSHIDANI","H.ERTEBATAT","H.BEHDASHT","H.HAMLONAGHL","H.KALA.MOT","H.MASKAN","H.MOBLEMAN","H.POOSHAK","KHARID.KALA.BADAVAM","H.SARMAYEGOZARI","M.DARAMAD.NAKH","HOOGHOOGH.MOSTAMAR","GH.MOSTAMAR","M.DARAMAD.KH","DARYAFTI.NAKH.F","DARAMAD.M.KH.1","DARAMAD.M.KH.2","DARAMAD.M.KH.3","DARAMAD.M.KH.4","M.INCOME","DAHAK","DAHAK10"
12301283026,23,1,27,1,4,1,3,3,42,0,1,0,0,0,1,0,1,1,1,1,0,0,0,17815000,7e+05,19990000,8e+05,1350000,37085000,540000,0,1423500000,0,7.8e+08,0,4e+07,1.2e+08,0,0,4e+06,8.51e+08,0,1.795e+09,8,0
12310288923,23,1,27,1,5,1,1,3,65,0,0,0,0,0,1,0,1,1,1,1,1,0,1,12335000,1040000,0,1100000,1990000,45980000,1050000,0,67213000,0,0,743600004,0,0,0,0,0,4.35e+08,32140000,1210740004,6,0
12312290035,23,1,27,1,5,1,3,3,65,0,1,0,0,0,1,0,1,1,1,1,0,0,0,17894500,750000,3e+06,2600000,120000,20500000,1215000,1100000,730000,0,1.28e+08,0,6e+07,497800000,0,0,0,4.35e+08,58790000,1179590000,5,0
12313290532,23,1,27,1,2,1,6,4,130,0,1,0,0,0,1,0,1,1,1,1,1,0,0,22415000,0,0,2900000,1e+06,35955000,1900000,140000,9160000,0,0,7e+08,0,4.44e+08,7.5e+07,0,0,0,47960000,1266960000,6,0
12320285727,23,1,27,1,4,1,3,3,67,0,0,0,0,0,1,0,1,1,1,1,1,0,0,21293000,3e+05,3350000,22500000,2150000,64130000,1100000,35150000,268235007,2e+08,0,0,0,2.4e+08,0,0,3440000,2.55e+08,0,498440000,3,0
12301268024,23,1,28,2,0,1,5,2,18,0,0,0,0,0,1,0,1,1,1,0,0,0,0,22844000,1050000,650000,2200000,1280000,21300000,2335000,2150000,94640000,0,0,0,5e+06,3.3e+08,0,0,0,6.63e+08,26400000,1024400000,5,0
12301273423,23,1,28,1,6,1,3,5,68,0,1,0,0,0,1,1,1,1,1,1,0,0,0,13929900,840000,1350000,5950000,550000,62700000,1360000,20200000,2.3e+07,0,0,0,0,4.8e+08,0,0,0,0,16560000,496560000,3,0
12301274635,23,1,28,1,5,1,1,3,35,0,1,1,0,0,1,0,1,1,1,1,0,0,0,12670000,1320000,750000,1100000,2610000,41495000,1e+05,0,279690000,0,0,1077600000,0,5.87e+08,0,0,0,7.2e+08,0,2384600000,9,0
12301276432,23,1,28,1,7,1,4,4,80,0,0,1,0,0,1,0,1,1,1,1,0,0,0,22310000,7e+05,0,3150000,2e+05,117835000,4590000,8350000,77840000,0,2.28e+08,0,0,0,0,0,22800000,0,55420000,306220000,2,0
12301276925,23,1,28,1,4,1,4,3,56,0,0,1,0,0,1,0,1,1,1,1,0,0,0,8892500,550000,3e+06,1650000,3540000,26800000,2890000,0,1345056888,0,6.62e+08,0,0,1.2e+08,0,0,0,0,16560000,798560000,4,0
