jensiat,sen,savad,m.t.s,v.f.s,N.T.M,T.O,S.Z,M.O.B,OTO,MO,DO,ZABT,TV,PC,TEL.H,OJAGH.GAZ,JAROO.B,MASHIN.L,CHARKH.KH,PANKE,MASHIN.Z,H.KHORAKI.NOOSHIDANI,H.ERTEBATAT,H.BEHDASHT,H.HAMLONAGHL,H.KALA.MOT,H.MASKAN,H.MOBLEMAN,H.POOSHAK,KHARID.KALA.BADAVAM,H.SARMAYEGOZARI,DAHAK10
1,28,1,6,1,4,3,75,0,1,0,0,0,1,0,1,1,1,1,0,0,0,15830000,1050000,2800000,3.00E+06,610000,16850000,1210000,3.00E+06,241400000,2.50E+08,0
1,28,1,6,1,4,4,80,0,0,1,0,0,1,0,1,1,1,1,0,0,0,8520000,2300000,0,2200000,5.00E+05,48590000,1435000,4100000,7760000,0,0
1,28,1,5,1,4,4,75,0,1,0,0,0,1,1,1,1,1,1,1,0,0,22130000,820000,0,1.00E+06,1470000,21800000,1600000,0,13255000,0,0
2,28,1,6,1,4,3,75,0,1,0,0,0,1,0,1,1,1,1,0,0,0,12150000,2900000,0,1300000,1530000,17730000,1570000,650000,81750000,0,0
1,29,1,1,1,5,1,9,1,0,0,0,0,1,0,1,1,0,0,0,0,0,13640000,1350000,2200000,5.00E+05,1190000,5850000,1190000,0,145150000,4.00E+08,0
1,29,1,6,1,3,3,40,0,0,0,0,0,1,0,1,1,1,1,0,0,0,14370000,1500000,2.00E+05,3880000,3020000,35800000,1.00E+05,0,51200000,0,0
2,29,1,7,1,3,4,80,0,1,0,0,0,1,1,1,1,1,1,0,0,0,27623000,2.00E+06,550000,1400000,1685000,51810000,0,18440000,32570000,0,0
1,29,1,2,1,4,3,43,0,1,0,0,0,1,0,1,1,1,1,0,0,0,16842400,1070000,5800000,5.00E+05,1590000,31050000,2450000,3100000,26025000,0,0
1,29,1,1,1,4,3,70,1,0,1,0,0,1,0,1,1,1,1,1,0,0,18733000,2650000,70000,6.00E+05,2350000,37205000,1180000,0,370864000,0,0
1,29,1,1,1,4,3,70,0,0,0,0,0,1,0,1,1,1,1,0,0,0,5945000,1700000,375000,1350000,430000,13750000,4030000,0,121871942,0,0
1,29,1,6,1,4,3,50,0,0,0,0,0,1,0,1,1,1,1,0,0,0,7592500,440000,0,5500000,920000,16020000,2180000,0,62830000,0,0
1,29,1,7,1,6,3,50,0,0,0,0,0,1,0,1,1,1,1,0,0,0,12809000,1270000,0,0,1500000,21750000,1395000,4700000,6.90E+07,0,0
1,29,1,2,1,4,3,60,1,0,1,0,0,1,0,1,1,1,1,0,0,0,29275000,3100000,20040000,1600000,5800000,13721000,270000,3500000,112200000,0,1
1,30,1,4,1,5,1,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17810000,5.00E+05,11800000,2250000,1650000,10800000,8.00E+05,0,887950000,0,0
1,30,1,2,1,5,2,36,0,0,1,0,0,1,0,1,1,1,1,0,0,0,11980000,5.00E+05,3.00E+05,7.00E+06,410000,30500000,1290000,0,303300000,0,0
1,30,2,0,1,4,3,65,1,0,0,0,0,1,0,1,1,0,0,0,0,0,66932000,2206000,0,2.00E+05,580000,42500000,1600000,4420000,14450000,0,0
1,30,1,2,1,5,1,10,0,0,1,0,0,1,0,1,1,1,0,0,0,0,27974000,1050000,0,5.00E+05,1150000,15950000,2505000,2850000,340252000,0,0
2,30,1,6,1,3,3,60,0,0,0,0,0,1,1,1,1,1,0,0,0,0,7275865,1315000,16733333,350000,950000,52175000,6090000,0,57700000,0,0
1,30,1,6,3,3,4,80,0,0,0,0,0,1,1,1,1,1,0,0,0,0,11005000,2100000,1500000,1100000,9.00E+05,62680000,770000,3.00E+05,199226520,0,0
1,30,1,1,1,4,4,50,0,0,0,0,0,1,0,1,1,1,1,0,0,0,2363000,1350000,5.00E+06,2.00E+06,9.00E+05,33100000,20638000,0,54840000,0,1
1,30,1,5,1,4,4,60,0,1,0,0,0,1,1,1,1,1,1,0,0,1,7250000,450000,0,3.00E+06,2145000,51580000,270000,5.00E+05,170150000,0,0
1,30,1,4,1,6,3,50,1,1,1,0,0,1,1,1,1,1,1,0,0,0,12039000,3180000,250000,5.00E+06,1530000,35950000,1300000,0,52970000,0,0
1,30,1,4,1,1,3,62,0,0,1,1,0,1,1,1,1,1,1,0,0,0,13065000,1540000,9580000,4500000,890000,31470000,0,450000,48700000,0,1
1,30,1,1,1,4,3,70,0,0,0,0,0,1,0,1,1,1,0,0,0,0,7582000,1500000,0,1380000,1120000,24850000,650000,2550000,54257552,0,0
2,30,1,1,1,4,2,50,0,0,0,0,0,1,0,1,1,0,0,0,0,0,19550000,6.00E+05,0,1500000,720000,16320000,1705000,5500000,24443520,4.00E+07,0
1,30,1,4,1,6,3,53,0,1,0,0,0,1,1,1,1,1,1,0,0,0,16880000,1.00E+06,8.00E+05,4.00E+05,1940000,46300000,860000,5.00E+05,19460000,0,0
1,30,1,1,1,6,3,88,0,0,0,0,0,1,0,1,1,1,1,1,0,0,23160000,9.00E+05,0,5350000,2450000,24960000,0,2200000,176928900,0,0
1,30,1,4,1,1,3,50,1,0,0,0,0,1,0,1,1,1,1,1,0,0,18780350,2200000,1120000,2.00E+06,1050000,9610000,470000,250000,178505000,0,0
1,30,1,4,1,4,4,90,0,1,0,0,0,1,0,1,1,1,1,0,0,0,9600000,530000,2.00E+05,150000,2.00E+06,18230000,6550000,0,412720000,1.00E+07,0
1,30,1,1,1,3,3,60,0,0,0,0,0,1,0,1,1,1,1,0,0,0,24820000,1.00E+06,4100000,5.00E+05,1800000,9010000,1210000,0,90700000,0,0
1,30,1,1,1,1,3,42,1,1,0,0,0,1,0,1,1,1,1,0,0,0,27850000,1.00E+05,0,1700000,580000,12550000,3890000,1400000,220000,0,0
1,30,1,4,1,6,3,75,0,1,0,0,0,1,0,1,1,1,1,1,0,0,12631000,1410000,10985000,950000,1950000,24950000,1510000,1.00E+05,550100000,0,0
1,30,1,1,1,1,3,70,1,1,0,0,0,1,0,1,1,1,1,0,0,0,19430000,2.00E+05,0,1.00E+06,2200000,25850000,120000,10530000,47640000,0,0
1,30,1,2,1,1,3,70,0,1,0,0,0,1,0,1,1,1,1,1,0,0,12608650,1700000,5991000,1200000,1200000,20930000,310000,2350000,3310000,0,0
1,30,1,2,1,3,3,67,0,1,0,0,0,1,0,1,1,1,1,1,0,0,18690000,2.00E+05,2.00E+05,10500000,1770000,27730000,0,0,26228776,0,0
1,30,1,4,1,1,4,100,0,1,0,0,0,1,0,1,1,1,1,1,0,0,7297700,2200000,2600000,7500000,2020000,16165000,7.00E+05,0,1497536,0,0
1,30,1,4,2,1,3,70,0,0,0,0,0,1,1,1,1,1,1,1,0,0,11980000,305000,0,350000,1100000,21715000,1050000,0,3900000,0,0
1,30,1,1,1,1,3,60,1,0,0,0,0,1,0,1,1,1,1,1,0,0,22577000,0,4.00E+05,6.00E+05,3330000,21170000,1995000,2.00E+05,118940000,0,0
1,31,1,2,1,4,4,70,0,1,0,0,0,1,0,1,1,1,1,1,0,0,28560500,1530000,0,1300000,2050000,17735000,750000,2.00E+05,816500000,3.00E+07,0
1,31,1,6,1,1,4,86,0,0,0,0,0,1,0,1,1,1,1,0,0,1,6825000,2176000,0,0,250000,53640000,0,250000,441319840,0,0
1,31,1,6,1,1,4,106,0,1,0,0,0,1,1,1,1,1,1,0,0,1,5210000,1200000,1555000,1200000,2200000,106760000,1655000,2950000,10290000,0,1
1,31,1,7,1,4,3,42,0,1,0,0,0,1,1,1,1,1,1,0,0,0,6580000,1100000,0,5650000,8100000,49150000,0,3.00E+05,48700000,0,0
1,31,1,6,1,1,3,50,0,0,0,0,0,0,1,1,1,0,1,0,0,1,8855500,1735000,250000,0,470000,20800000,1200000,5950000,436126000,0,0
2,31,1,2,3,4,3,45,0,0,0,0,0,1,0,1,1,1,1,0,0,0,5215000,250000,0,650000,1620000,38055000,2100000,0,175235000,0,0
1,31,1,4,1,1,3,68,0,1,0,0,0,1,0,1,1,1,1,0,0,0,16330000,3.00E+06,0,8.00E+05,1950000,40810000,8.00E+05,2500000,9500000,0,0
1,31,1,4,1,3,3,65,0,1,0,1,0,1,0,1,1,1,1,0,0,0,7280280,1300000,50000,1350000,0,40800000,370000,0,61499999,0,0
1,31,1,6,1,1,4,85,0,1,0,0,0,1,1,1,1,1,1,1,0,0,30372500,1500000,1800000,2400000,1400000,45950000,1320000,2450000,13500000,0,0
1,31,1,2,1,3,3,64,0,0,0,0,0,1,0,1,1,0,1,0,0,0,17290000,350000,0,7.00E+05,1500000,23125000,2800000,2250000,21057552,0,0
1,31,1,5,1,1,3,43,0,1,0,0,0,1,0,1,1,1,1,0,0,0,23908000,460000,0,6.00E+05,570000,28910000,1870000,9100000,306700000,0,0
1,31,1,2,1,4,3,50,0,0,0,0,0,1,0,1,1,1,1,0,0,0,14876500,1200000,0,3300000,350000,16480000,1020000,9020000,67860000,0,0
1,31,1,4,1,1,4,75,0,0,0,0,0,1,0,1,1,1,1,0,0,0,18973000,790000,0,2650000,3200000,61270000,3420000,2.00E+05,3180000,0,0
1,31,1,4,1,6,3,67,0,1,0,0,0,1,1,1,1,1,1,0,0,0,21530000,650000,0,1.00E+06,0,25860000,1.00E+05,250000,75100000,0,0
1,31,1,4,1,3,3,60,0,1,1,0,0,1,0,1,1,1,1,1,0,0,6377000,770000,5.00E+05,3.00E+05,0,14800000,1650000,250000,34150000,0,0
1,31,1,4,1,6,3,70,0,1,0,0,0,1,0,1,1,1,1,0,0,0,21033500,750000,32200000,2900000,550000,18050000,2180000,14700000,310450000,0,0
1,32,1,4,1,5,2,25,0,0,0,0,0,1,0,1,1,1,0,0,0,0,27302000,480000,1300000,3300000,1710000,41450000,0,5750000,40700000,0,1
1,32,1,4,2,4,3,47,0,0,0,0,0,1,0,1,1,1,1,1,0,0,47989500,1050000,6500000,2200000,1320000,9470000,1010000,0,891520000,0,0
1,32,1,1,1,4,4,58,0,1,1,0,0,1,0,1,1,1,1,1,1,0,5661000,980000,4.00E+05,9.00E+06,2110000,32300000,1750000,0,220650000,0,0
1,32,1,4,1,1,4,85,0,0,1,0,0,1,0,1,1,1,1,0,0,1,19820000,2025000,1600000,7.00E+06,550000,66905000,1770000,2.00E+05,3.80E+07,0,1
1,32,1,5,1,1,3,48,0,1,1,0,0,0,0,1,1,1,1,0,0,1,32486900,1350000,150000,1.00E+06,1050000,30830000,1400000,9.00E+05,477895000,0,0
1,32,1,7,1,4,4,70,0,1,0,1,1,1,1,1,1,1,1,0,0,1,17071800,450000,0,1300000,2250000,46900000,1080000,6.00E+06,623396880,0,0
1,32,1,5,1,3,4,75,0,0,0,1,0,1,0,1,1,1,1,0,0,0,16151650,485000,0,550000,2.00E+05,54860000,720000,0,44452000,0,0
1,32,1,7,1,3,2,65,0,0,0,0,0,0,1,1,1,0,0,0,0,0,10230000,490000,3.00E+06,5500000,0,26700000,980000,10700000,39160000,0,0
1,32,1,4,1,3,4,65,0,0,1,0,0,1,0,1,1,1,1,0,0,0,25310000,1050000,3050000,1500000,8.00E+05,42630000,1310000,0,29943000,0,0
1,32,1,2,1,1,3,70,0,0,0,0,0,1,0,1,1,1,1,0,0,1,13493000,1123000,5.00E+05,3150000,1140000,31560000,1220000,9100000,114950000,0,0
1,32,1,4,1,3,3,50,0,0,0,0,0,1,0,1,1,1,1,0,0,0,7588500,2120000,305000,1070000,350000,24660000,960000,1400000,87450000,0,1
1,32,1,5,1,3,3,60,0,0,0,0,0,1,1,1,1,1,1,1,0,0,5280000,2500000,0,2500000,450000,25100000,2260000,0,187963164,0,1
1,32,2,0,1,4,3,50,1,0,0,0,0,1,0,1,1,0,0,0,0,0,22858000,1500000,10100000,750000,1750000,16105000,3525000,0,1189568000,2.00E+07,0
1,32,1,5,1,4,4,110,0,0,0,0,0,1,0,1,1,1,1,0,0,0,24230520,680000,5500000,0,6.00E+05,25500000,250000,0,22635000,3.00E+07,0
1,32,1,6,1,4,4,52,0,0,0,0,0,1,0,1,1,1,1,0,0,0,18246000,1200000,0,4.00E+05,0,26765000,1020000,0,77200000,0,0
1,32,1,7,1,4,3,50,0,0,0,0,0,1,1,1,1,1,1,1,0,0,10643000,750000,250000,0,650000,12470000,2970000,23500000,727371000,0,0
1,32,1,1,1,4,3,55,0,0,0,0,0,1,0,1,1,1,1,1,0,0,15830000,0,550000,2500000,6.00E+05,12750000,3260000,0,299655000,0,0
1,32,1,2,1,4,5,88,0,0,0,0,0,1,0,1,1,1,1,0,0,0,39600000,620000,1100000,7.00E+05,7.00E+05,21100000,1200000,0,3.00E+07,0,0
1,32,1,4,1,3,4,90,1,1,0,0,0,1,0,1,1,1,1,0,0,0,18470000,430000,68100000,12700000,1950000,8890000,3730000,2480000,211640000,0,0
1,32,1,6,1,1,3,58,0,1,0,0,0,1,1,1,1,1,1,0,0,0,16661800,850000,9.00E+05,5800000,1400000,46160000,1420000,1.00E+05,323468000,0,0
1,32,1,5,1,6,2,55,0,1,0,0,0,1,0,1,1,1,1,1,0,0,13218500,780000,350000,1.00E+06,1450000,20850000,2210000,12550000,40648064,3500000,0
1,32,1,5,1,6,3,50,0,1,0,0,0,1,0,1,1,1,1,0,0,0,11875000,320000,0,5600000,8750000,1.60E+07,2620000,4250000,44530000,0,0
1,32,1,4,1,6,3,70,1,0,0,0,0,1,0,1,1,1,1,1,1,0,22349000,620000,0,1100000,5.00E+05,18350000,450000,0,58620000,0,1
1,32,1,4,1,3,3,60,0,0,1,0,0,1,0,1,1,1,1,1,0,0,40815000,1650000,0,650000,380000,19960000,3360000,0,185900000,0,0
1,33,1,6,1,3,4,90,0,1,0,0,0,1,1,1,1,1,1,1,0,0,8722000,2500000,0,3500000,380000,78900000,0,0,189903000,0,1
1,33,1,5,1,3,3,70,0,0,0,0,0,1,1,1,1,1,1,0,0,0,40598000,1050000,0,9.00E+05,1350000,48150000,1250000,820000,22575000,0,0
1,33,1,2,1,6,3,70,1,1,0,1,0,1,1,0,1,1,1,0,0,0,17790000,770000,0,1900000,310000,61900000,375000,0,51824000,2.00E+07,0
1,33,1,4,1,4,4,97,0,0,0,0,0,1,1,1,1,1,1,0,0,1,6421800,1.00E+06,3.00E+06,2.00E+06,5.00E+05,106050000,950000,0,293476000,0,0
1,33,1,6,1,3,3,50,0,1,0,0,0,1,0,1,1,1,1,1,0,0,14327000,1150000,0,1400000,3.00E+05,20065000,1950000,0,285100000,0,0
1,33,1,6,1,3,4,82,0,0,0,0,0,1,1,1,1,1,1,0,0,1,16465465,3.00E+05,0,7050000,915000,50370000,550000,35300000,5837552,0,0
1,33,1,1,2,3,4,53,0,0,0,0,0,1,1,1,1,1,1,0,0,0,10255000,520000,10750000,0,2900000,39510000,2750000,0,194039893,0,0
1,33,1,4,1,6,3,76,0,1,1,0,0,1,0,1,1,1,1,1,1,1,11304000,5.00E+05,0,7.00E+05,450000,35785000,1300000,0,239510000,0,1
